2019-04-18 17:46.39 STOP predict_per_district      region=Region(district_name='Ružomberok', region_name='Žilinský', area=646798629.0, geometry=<ee.geometry.Geometry object at 0x11feb4710>)
2019-04-18 17:46.41 STOP predict_per_district      region=Region(district_name='Snina', region_name='Prešovský', area=804744186.0, geometry=<ee.geometry.Geometry object at 0x120cd5940>)
2019-04-18 17:46.42 STOP predict_per_district      region=Region(district_name='Poprad', region_name='Prešovský', area=1104688836.0, geometry=<ee.geometry.Geometry object at 0x120cd56d8>)
2019-04-18 17:46.42 STOP predict_per_district      region=Region(district_name='Prešov', region_name='Prešovský', area=933954989.0, geometry=<ee.geometry.Geometry object at 0x120cd5780>)
2019-04-18 17:46.45 STOP predict_per_district      region=Region(district_name='Svidník', region_name='Prešovský', area=549607373.0, geometry=<ee.geometry.Geometry object at 0x120cd5b38>)
2019-04-18 17:46.45 STOP predict_per_district      region=Region(district_name='Humenné', region_name='Prešovský', area=754238069.0, geometry=<ee.geometry.Geometry object at 0x120cd5400>)
2019-04-18 17:46.56 STOP predict_per_district      region=Region(district_name='Nové Zámky', region_name='Nitriansky', area=1347064780.0, geometry=<ee.geometry.Geometry object at 0x11e993f60>)
2019-04-18 17:47.05 STOP predict_per_district      region=Region(district_name='Liptovský Mikuláš', region_name='Žilinský', area=1341034378.0, geometry=<ee.geometry.Geometry object at 0x11feb44e0>)
2019-04-18 17:47.10 STOP predict_per_district      region=Region(district_name='Nitra', region_name='Nitriansky', area=870719944.0, geometry=<ee.geometry.Geometry object at 0x11e9644e0>)
2019-04-18 17:48.24 STOP predict_per_district      region=Region(district_name='Rimavská Sobota', region_name='Banskobystrický', area=1471073878.0, geometry=<ee.geometry.Geometry object at 0x11feb4f98>)
